@RELATION knnDTMF
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {tecla_0,tecla_1,tecla_2,tecla_3,tecla_4,tecla_5,tecla_6,tecla_7,tecla_8,tecla_9}

@DATA
0.225856,0.024601,3.105118,0.484871,0.274156,0.408583,0.005740,0.033500,-44.496800,-0.125930,-0.229043,0.155724,0.029816,-0.040415,0.025104,-0.008856,-0.013531,-0.008489,-0.059399,0.037559,0.034978,0.006214,0.004242,0.011574,0.005121,0.005582,0.004772,0.011126,0.004772,0.005302,0.006823,0.007133,0.003785,0.003695,0.036286,0.037596,0.054388,0.031755,0.026680,0.121474,0.009940,0.051172,3.312339,0.290497,0.414358,0.309385,0.093828,0.178668,0.109413,0.125509,0.112113,0.087335,0.130760,0.099352,0.133130,0.002781,0.002554,0.005625,0.002885,0.002648,0.002969,0.004895,0.002643,0.003015,0.004072,0.002967,0.002219,0.001162,tecla_0
0.246366,0.070410,3.171065,0.442816,0.255270,0.590806,0.010167,0.095714,-40.395452,-0.311890,-0.578912,0.416425,-0.047617,-0.195714,0.079474,0.022530,-0.017783,0.005163,-0.099007,0.078564,0.096506,0.003852,0.003093,0.040613,0.003330,0.003495,0.003352,0.006241,0.005250,0.002919,0.003369,0.004595,0.002620,0.011245,0.025713,0.028815,0.043366,0.024213,0.021996,0.092744,0.013165,0.039075,2.621506,0.370131,0.320421,0.259450,0.133831,0.109118,0.127407,0.078851,0.077917,0.087294,0.123366,0.113072,0.106553,0.001947,0.002203,0.012044,0.002315,0.001821,0.001964,0.003447,0.001910,0.001571,0.001858,0.002468,0.001972,0.002812,tecla_0
0.167292,0.158242,3.267050,0.256794,0.166884,0.806307,0.026748,0.101667,-32.543516,0.361325,-2.695609,0.168165,0.051615,-0.075257,0.365643,-0.386163,-0.663523,0.464133,0.387528,-0.374637,-0.140109,0.001567,0.001075,0.000824,0.001513,0.001123,0.005168,0.003725,0.001334,0.005363,0.001007,0.016388,0.001188,0.005818,0.033928,0.111896,0.038343,0.160307,0.094082,0.278217,0.037815,0.071889,10.415941,0.313429,1.903459,0.061636,0.027821,0.114981,0.290996,0.194869,0.490784,0.269762,0.318495,0.163279,0.105054,0.002018,0.001329,0.001006,0.001979,0.000894,0.001378,0.002011,0.000243,0.002335,0.001144,0.023110,0.001546,0.004885,tecla_1
0.112371,0.158000,3.293236,0.210148,0.179778,0.206647,0.025218,0.036903,-32.821024,0.254506,-2.638664,0.109409,0.062927,-0.076656,0.393254,-0.320779,-0.630735,0.459536,0.368285,-0.370302,-0.062287,0.000329,0.000192,0.000329,0.000137,0.039471,0.004165,0.001938,0.000952,0.004928,0.000290,0.000216,0.000125,0.012379,0.082241,0.111725,0.001303,0.193495,0.084327,0.289399,0.035641,0.026094,11.009518,0.275642,1.791798,0.063675,0.014725,0.107048,0.233159,0.292813,0.541466,0.278686,0.333650,0.175456,0.034214,0.000271,0.000084,0.000307,0.000038,0.055142,0.002700,0.000553,0.000336,0.003309,0.000120,0.000239,0.000046,0.014106,tecla_1
0.252297,0.158434,3.252031,0.323128,0.163061,0.981366,0.029730,0.203333,-32.515700,0.615064,-2.869552,0.310630,-0.022694,-0.059494,0.435119,-0.351674,-0.700199,0.465638,0.432832,-0.323859,-0.139185,0.000712,0.000387,0.041879,0.000634,0.000757,0.005196,0.003623,0.001191,0.006215,0.000669,0.002238,0.000453,0.012895,0.023272,0.112031,0.059416,0.091618,0.103323,0.325777,0.042036,0.143778,10.018071,0.449915,2.036365,0.157925,0.056468,0.057672,0.190547,0.232206,0.439874,0.271934,0.250322,0.240430,0.094166,0.000809,0.000353,0.059063,0.000734,0.000370,0.001358,0.001888,0.000060,0.001151,0.000652,0.003099,0.000508,0.014888,tecla_1
0.154658,0.210722,3.297244,0.232068,0.186704,0.952094,0.008964,0.130714,-27.130910,-0.099483,-2.369840,0.242319,-0.032486,0.090229,0.469591,-0.500343,-0.721339,0.695886,0.462344,-0.581648,-0.172922,0.000306,0.000243,0.001002,0.000315,0.000936,0.005330,0.002603,0.001036,0.005167,0.000867,0.009647,0.000488,0.004318,0.027856,0.086240,0.027905,0.105715,0.057290,0.204011,0.018560,0.053364,8.264701,0.590612,1.299708,0.324669,0.307397,0.153067,0.302108,0.206407,0.320419,0.222104,0.250752,0.226797,0.174709,0.000426,0.000299,0.002040,0.000248,0.000842,0.001387,0.000681,0.000260,0.001973,0.000597,0.023060,0.000840,0.005469,tecla_1
0.078753,0.210573,3.301481,0.170455,0.195776,0.105302,0.008033,0.047446,-27.314231,-0.161357,-2.438868,0.258884,-0.016066,0.076257,0.453484,-0.509979,-0.715108,0.664145,0.447414,-0.568274,-0.171265,0.000192,0.000157,0.000250,0.000267,0.016438,0.005143,0.002160,0.000877,0.004820,0.000704,0.000254,0.000199,0.006128,0.061953,0.086196,0.008294,0.131974,0.052673,0.207297,0.015775,0.019370,8.528314,0.579607,1.248686,0.335479,0.331926,0.154721,0.270957,0.232642,0.326632,0.311078,0.227950,0.270177,0.147913,0.000151,0.000099,0.000213,0.000148,0.038799,0.001795,0.000547,0.000388,0.002160,0.000368,0.000148,0.000141,0.010013,tecla_1
0.258145,0.210754,3.276934,0.330046,0.176769,1.117626,0.009652,0.261429,-26.970417,-0.085817,-2.303557,0.308760,0.052927,0.132819,0.527041,-0.481898,-0.721143,0.661284,0.484432,-0.585221,-0.202150,0.000537,0.000480,0.002120,0.001056,0.002087,0.006657,0.004332,0.001409,0.005168,0.001323,0.001620,0.001136,0.002415,0.033168,0.086238,0.076879,0.068713,0.056622,0.327411,0.020717,0.106728,8.087357,0.600912,1.229577,0.242199,0.316032,0.135848,0.276772,0.227731,0.293755,0.320560,0.252666,0.230390,0.130438,0.000997,0.000884,0.004779,0.002061,0.003666,0.001957,0.004813,0.000985,0.001753,0.001670,0.003421,0.002435,0.000885,tecla_1
0.071339,0.118855,3.313884,0.154601,0.171590,0.522235,0.248169,0.076250,-37.093696,0.623802,-2.684526,0.002774,-0.286215,0.009117,0.805044,0.079172,-0.391248,0.641143,0.499857,-0.301079,-0.047650,0.000034,0.000034,0.000045,0.000061,0.000262,0.002992,0.001339,0.000702,0.003655,0.000087,0.083254,0.000021,0.024219,0.071339,0.118855,0.007751,0.027687,0.123880,0.478161,0.248169,0.076250,10.200570,0.669557,2.700127,0.006232,0.098785,0.046686,0.663582,0.108470,0.314255,0.636944,0.386977,0.285207,0.006941,0.000028,0.000031,0.000038,0.000059,0.000255,0.002991,0.001332,0.000698,0.003653,0.000083,0.083245,0.000016,0.021798,tecla_1
0.027223,0.118450,3.312546,0.155479,0.175859,0.031270,0.156657,0.027677,-37.609679,0.702982,-2.744528,-0.053959,-0.212810,0.013183,0.697001,0.083771,-0.436886,0.625005,0.469167,-0.282878,0.011466,0.000031,0.000033,0.000042,0.000061,0.083472,0.002993,0.001341,0.000704,0.003657,0.000082,0.000006,0.000020,0.024210,0.027223,0.118450,0.005133,0.109080,0.151706,0.031232,0.156657,0.027677,10.577256,0.567108,2.785065,0.049763,0.245140,0.020707,0.714969,0.044136,0.324161,0.600788,0.358023,0.317971,0.047186,0.000030,0.000031,0.000038,0.000057,0.082959,0.002989,0.001335,0.000702,0.003656,0.000079,0.000002,0.000017,0.021788,tecla_1
0.137845,0.120565,3.314122,0.190851,0.169489,0.610523,0.323547,0.152500,-36.498768,0.630535,-2.471627,-0.001886,-0.140295,0.011477,0.718640,0.053487,-0.456664,0.620839,0.509065,-0.269766,-0.075767,0.000033,0.000036,0.099978,0.000065,0.000270,0.003007,0.001334,0.000694,0.003604,0.000094,0.000006,0.000019,0.028821,0.137845,0.120565,0.007477,0.061457,0.087450,0.580969,0.323547,0.152500,9.887358,0.570005,2.633597,0.056068,0.128854,0.017431,0.827328,0.183261,0.169191,0.721731,0.465796,0.295942,0.052897,0.000029,0.000032,0.099890,0.000060,0.000259,0.003002,0.001325,0.000688,0.003601,0.000089,0.000003,0.000017,0.026418,tecla_1
0.241174,0.105448,3.182398,0.417157,0.232080,0.737545,0.012337,0.130714,-36.796902,-0.095883,-1.162876,0.167132,-0.019586,0.044206,0.225825,-0.264023,-0.345998,0.341007,0.256268,-0.267242,-0.086383,0.003990,0.002948,0.007972,0.003698,0.003478,0.006356,0.007614,0.002700,0.004838,0.004742,0.004195,0.003774,0.003114,0.022094,0.043152,0.058595,0.038554,0.029928,0.173606,0.017064,0.053364,4.089102,0.397106,0.671479,0.241999,0.221528,0.102545,0.199303,0.170893,0.229759,0.165148,0.140935,0.198469,0.117314,0.003045,0.001671,0.004585,0.002174,0.001566,0.001662,0.005072,0.002037,0.001385,0.003582,0.002690,0.002883,0.000990,tecla_1
0.225961,0.024604,3.107873,0.481094,0.274713,0.435090,0.004900,0.030500,-44.314885,-0.050812,-0.287332,0.034389,0.001101,0.021880,0.071384,-0.039087,-0.086060,0.060097,0.047724,-0.067712,-0.013864,0.006385,0.004563,0.011137,0.005611,0.006823,0.005957,0.009853,0.004297,0.004842,0.006648,0.006757,0.005517,0.003447,0.033049,0.037602,0.050050,0.035345,0.025399,0.152640,0.007590,0.046590,3.548037,0.222442,0.533313,0.143942,0.131926,0.110759,0.184482,0.165533,0.194449,0.197752,0.158576,0.190729,0.113605,0.003110,0.002783,0.005236,0.003563,0.003477,0.002152,0.004308,0.002647,0.002523,0.003240,0.003178,0.002984,0.001038,tecla_1
0.231185,0.070251,3.158112,0.430278,0.254174,0.628961,0.008060,0.087143,-39.979685,0.035124,-0.739654,0.110719,0.010057,0.017502,0.175841,-0.138457,-0.196798,0.242362,0.147667,-0.178669,-0.058298,0.003448,0.003056,0.028689,0.003547,0.004006,0.005007,0.008707,0.002881,0.005476,0.003825,0.005009,0.004558,0.007884,0.020070,0.028770,0.040259,0.031328,0.020128,0.117733,0.009828,0.035576,2.789361,0.304881,0.415023,0.129670,0.162165,0.087444,0.139521,0.144225,0.174907,0.140818,0.133986,0.159076,0.110228,0.002298,0.001394,0.008866,0.002079,0.002719,0.001773,0.003328,0.001703,0.001959,0.001947,0.002588,0.003656,0.002031,tecla_1
0.179391,0.157997,3.295657,0.292662,0.239348,0.931370,0.026046,0.111667,-31.640075,-0.005583,-1.195703,-0.144003,-0.469008,0.532194,0.582597,-0.762834,-0.350275,0.684922,-0.020856,-0.250705,0.162274,0.000275,0.000257,0.000312,0.000325,0.000331,0.000518,0.001020,0.006763,0.005196,0.000317,0.046841,0.000317,0.015003,0.030748,0.111721,0.006901,0.109195,0.055651,0.154529,0.036831,0.078960,11.076497,0.146597,0.788585,0.150768,0.240174,0.426325,0.318590,0.681476,0.331889,0.558198,0.021117,0.275362,0.143762,0.000286,0.000290,0.000339,0.000351,0.000256,0.000152,0.000331,0.004480,0.003156,0.000143,0.066132,0.000352,0.016691,tecla_2
0.110103,0.157943,3.289126,0.255783,0.238774,0.188330,0.018011,0.040532,-31.903288,0.200131,-1.011412,-0.103894,-0.462527,0.546779,0.565425,-0.846138,-0.410737,0.779588,-0.000800,-0.303292,0.219458,0.000212,0.000106,0.000409,0.000418,0.030299,0.000620,0.001479,0.007164,0.005302,0.000478,0.000248,0.000119,0.010511,0.071010,0.111682,0.008917,0.160925,0.043930,0.231962,0.025460,0.028661,11.530795,0.166996,0.860213,0.126688,0.294690,0.476995,0.408988,0.607181,0.259186,0.504350,0.025321,0.262147,0.082871,0.000195,0.000078,0.000459,0.000472,0.042614,0.000266,0.000238,0.004668,0.003444,0.000359,0.000235,0.000073,0.010120,tecla_2
0.197160,0.158178,3.298833,0.344770,0.235220,0.942553,0.045862,0.223333,-31.460888,-0.234533,-1.325685,-0.293577,-0.408380,0.454144,0.523039,-0.793896,-0.386366,0.727779,0.111587,-0.225507,0.124302,0.000125,0.000133,0.063300,0.000154,0.000173,0.000312,0.000964,0.006810,0.005065,0.000270,0.000219,0.000159,0.019593,0.139473,0.111849,0.002920,0.028065,0.068120,0.162049,0.064849,0.157921,10.739906,0.154813,0.955794,0.121587,0.264050,0.305036,0.292656,0.569915,0.312943,0.341190,0.122712,0.240828,0.114978,0.000074,0.000109,0.089432,0.000119,0.000052,0.000111,0.000351,0.004478,0.003322,0.000067,0.000209,0.000127,0.023168,tecla_2
0.166100,0.210762,3.299919,0.226321,0.182279,0.949249,0.012489,0.143571,-27.061361,0.422670,-1.852057,0.229896,-0.317454,0.486920,0.560822,-0.915843,-0.382061,0.909507,0.004793,-0.412418,0.088142,0.000540,0.000239,0.000802,0.000265,0.000339,0.000512,0.001686,0.007363,0.005446,0.000890,0.009951,0.000402,0.004883,0.024777,0.086208,0.033435,0.104783,0.054007,0.184145,0.029184,0.058613,8.219071,0.505183,0.834171,0.263234,0.202975,0.288107,0.251864,0.417135,0.243696,0.317931,0.091228,0.148332,0.058363,0.001111,0.000427,0.001694,0.000427,0.000490,0.000557,0.002068,0.002678,0.001830,0.000701,0.023885,0.000744,0.005480,tecla_2
0.081086,0.210558,3.302713,0.166033,0.186406,0.059797,0.011005,0.052113,-27.231095,0.473926,-1.793715,0.226648,-0.332255,0.542749,0.581739,-0.943640,-0.395812,0.903300,-0.030764,-0.416902,0.085874,0.000226,0.000357,0.000674,0.000308,0.001334,0.000345,0.001127,0.006853,0.005299,0.000651,0.000463,0.000221,0.002439,0.053222,0.086121,0.017079,0.139046,0.053395,0.115273,0.024619,0.021275,8.561401,0.445274,0.854218,0.248315,0.228389,0.244823,0.223738,0.383626,0.214657,0.375294,0.065931,0.156203,0.078408,0.000351,0.000724,0.001385,0.000540,0.002918,0.000181,0.000795,0.002613,0.001665,0.000279,0.000684,0.000315,0.000416,tecla_2
0.288579,0.210574,3.293454,0.320436,0.179594,0.990580,0.014232,0.287143,-27.006325,0.316391,-1.948662,0.175408,-0.285179,0.477342,0.534657,-0.926711,-0.393742,0.857167,-0.027962,-0.398493,0.111367,0.000107,0.000341,0.018090,0.000439,0.000651,0.000502,0.001655,0.007099,0.005554,0.001029,0.000468,0.000401,0.007097,0.011864,0.086137,0.049144,0.056115,0.054946,0.158503,0.033820,0.117226,7.927639,0.666703,0.853469,0.340895,0.194903,0.149959,0.260155,0.398411,0.213627,0.363508,0.073184,0.171425,0.053076,0.000050,0.000673,0.044034,0.000860,0.001267,0.000555,0.002042,0.002896,0.001360,0.001036,0.000679,0.000738,0.011044,tecla_2
0.145363,0.119106,3.318655,0.186895,0.168865,0.530889,0.355476,0.167500,-36.550889,0.556397,-2.521743,0.168891,-0.372840,0.311300,0.823722,-0.255888,-0.120951,0.666019,0.122948,-0.078606,0.089716,0.000032,0.000036,0.099999,0.000064,0.000116,0.000277,0.000712,0.005133,0.003691,0.000094,0.000019,0.000023,0.029253,0.145363,0.119106,0.002936,0.073000,0.075907,0.505044,0.355476,0.167500,10.261838,0.674047,2.391051,0.233869,0.440280,0.181078,0.798529,0.223799,0.090666,0.612316,0.123345,0.057806,0.064306,0.000029,0.000033,0.099899,0.000060,0.000112,0.000275,0.000702,0.005130,0.003690,0.000092,0.000013,0.000019,0.025995,tecla_2
